CCO,CRP,NAN,O,C2,NAN,NAN,750.0,0.0,0.0,99   9,999
CCO,CRP,NAN,C,CO,NAN,NAN,750.0,0.0,0.0,99   9,999
CCP,CRP,NAN,P,C2,NAN,NAN,750.0,0.0,0.0,99   9,999
CCP,CRP,NAN,C,CP,NAN,NAN,750.0,0.0,0.0,99   9,999
CH2,CRP,NAN,CH2+,E-,NAN,NAN,500.0,0.0,0.0,99   9,999
CO2,CRP,NAN,O,CO,NAN,NAN,1710.0,0.0,0.0,99   9,999
H2O,CRP,NAN,H,OH,NAN,NAN,970.0,0.0,0.0,99   9,999
H2S,CRP,NAN,H2S+,E-,NAN,NAN,1700.0,0.0,0.0,99   9,999
H2S,CRP,NAN,S,H2,NAN,NAN,5150.0,0.0,0.0,99   9,999
HCN,CRP,NAN,H,CN,NAN,NAN,3120.0,0.0,0.0,99   9,999
HCO,CRP,NAN,H,CO,NAN,NAN,421.0,0.0,0.0,99   9,999
HCO,CRP,NAN,HCO+,E-,NAN,NAN,1170.0,0.0,0.0,99   9,999
HCP,CRP,NAN,H,CP,NAN,NAN,1500.0,0.0,0.0,99   9,999
HCS,CRP,NAN,HCS+,E-,NAN,NAN,1500.0,0.0,0.0,99   9,999
HCSI,CRP,NAN,SI,CH,NAN,NAN,1500.0,0.0,0.0,99   9,999
HNC,CRP,NAN,H,CN,NAN,NAN,3000.0,0.0,0.0,99   9,999
HNO,CRP,NAN,HNO+,E-,NAN,NAN,1000.0,0.0,0.0,99   9,999
HNSI,CRP,NAN,H,SIN,NAN,NAN,1500.0,0.0,0.0,99   9,999
HPO,CRP,NAN,H,PO,NAN,NAN,1500.0,0.0,0.0,99   9,999
HSS,CRP,NAN,S,HS,NAN,NAN,1500.0,0.0,0.0,99   9,999
N2O,CRP,NAN,N,NO,NAN,NAN,1500.0,0.0,0.0,99   9,999
NAOH,CRP,NAN,NA,OH,NAN,NAN,1500.0,0.0,0.0,99   9,999
NH2,CRP,NAN,H,NH,NAN,NAN,80.0,0.0,0.0,99   9,999
NH2,CRP,NAN,NH2+,E-,NAN,NAN,650.0,0.0,0.0,99   9,999
NO2,CRP,NAN,O,NO,NAN,NAN,1500.0,0.0,0.0,99   9,999
O2H,CRP,NAN,O,OH,NAN,NAN,750.0,0.0,0.0,99   9,999
O2H,CRP,NAN,H,O2,NAN,NAN,750.0,0.0,0.0,99   9,999
OCN,CRP,NAN,O,CN,NAN,NAN,1500.0,0.0,0.0,99   9,999
OCS,CRP,NAN,S,CO,NAN,NAN,5350.0,0.0,0.0,99   9,999
OCS,CRP,NAN,OCS+,E-,NAN,NAN,1440.0,0.0,0.0,99   9,999
PH2,CRP,NAN,H,PH,NAN,NAN,1500.0,0.0,0.0,99   9,999
C-SIC2,CRP,NAN,C,SIC,NAN,NAN,1500.0,0.0,0.0,99   9,999
SIH2,CRP,NAN,H,SIH,NAN,NAN,1500.0,0.0,0.0,99   9,999
SINC,CRP,NAN,SI,CN,NAN,NAN,1500.0,0.0,0.0,99   9,999
SIO2,CRP,NAN,O,SIO,NAN,NAN,1500.0,0.0,0.0,99   9,999
SO2,CRP,NAN,O,SO,NAN,NAN,1880.0,0.0,0.0,99   9,999
C2H2,CRP,NAN,H,CCH,NAN,NAN,5150.0,0.0,0.0,99   9,999
C2H2,CRP,NAN,C2H2+,E-,NAN,NAN,1310.0,0.0,0.0,99   9,999
C-C3H,CRP,NAN,H,C3,NAN,NAN,5000.0,0.0,0.0,99   9,999
L-C3H,CRP,NAN,H,C3,NAN,NAN,5000.0,0.0,0.0,99   9,999
C3N,CRP,NAN,C2,CN,NAN,NAN,1750.0,0.0,0.0,99   9,999
C3O,CRP,NAN,C2,CO,NAN,NAN,6600.0,0.0,0.0,99   9,999
C3P,CRP,NAN,C,CCP,NAN,NAN,1500.0,0.0,0.0,99   9,999
